module_id	series_name	series_description	series_slug	time_limit	is_free	question_number	question_content	question_points	question_media_url	question_media_type
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 11	Série de tests d'expression écrite numéro 11	expression-ecrite-serie-11	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre maison idéale et expliquez pourquoi elle vous plaît."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 12	Série de tests d'expression écrite numéro 12	expression-ecrite-serie-12	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un ami proche et expliquez pourquoi cette amitié est importante pour vous."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 13	Série de tests d'expression écrite numéro 13	expression-ecrite-serie-13	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre loisir préféré et expliquez pourquoi vous l'aimez."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 14	Série de tests d'expression écrite numéro 14	expression-ecrite-serie-14	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un problème environnemental qui vous préoccupe."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 15	Série de tests d'expression écrite numéro 15	expression-ecrite-serie-15	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez un repas en famille ou entre amis qui vous a marqué."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 16	Série de tests d'expression écrite numéro 16	expression-ecrite-serie-16	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une tradition de votre pays que vous appréciez particulièrement."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 17	Série de tests d'expression écrite numéro 17	expression-ecrite-serie-17	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre week-end idéal et expliquez ce que vous aimeriez faire."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 18	Série de tests d'expression écrite numéro 18	expression-ecrite-serie-18	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un sport que vous pratiquez ou que vous aimeriez pratiquer."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 19	Série de tests d'expression écrite numéro 19	expression-ecrite-serie-19	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre école ou université et ce que vous y apprenez."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 20	Série de tests d'expression écrite numéro 20	expression-ecrite-serie-20	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une personne qui vous inspire et expliquez pourquoi."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 21	Série de tests d'expression écrite numéro 21	expression-ecrite-serie-21	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre moyen de transport préféré et expliquez pourquoi."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 22	Série de tests d'expression écrite numéro 22	expression-ecrite-serie-22	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un événement récent qui vous a rendu heureux."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 23	Série de tests d'expression écrite numéro 23	expression-ecrite-serie-23	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre routine matinale et expliquez comment elle vous aide."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 24	Série de tests d'expression écrite numéro 24	expression-ecrite-serie-24	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un cadeau que vous avez reçu et qui vous a fait plaisir."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 25	Série de tests d'expression écrite numéro 25	expression-ecrite-serie-25	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre restaurant préféré et expliquez pourquoi vous l'aimez."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 26	Série de tests d'expression écrite numéro 26	expression-ecrite-serie-26	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une compétence que vous aimeriez apprendre et expliquez pourquoi."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 27	Série de tests d'expression écrite numéro 27	expression-ecrite-serie-27	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre quartier et ce que vous y appréciez le plus."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 28	Série de tests d'expression écrite numéro 28	expression-ecrite-serie-28	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un défi que vous avez relevé récemment et de ce que vous en avez appris."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 29	Série de tests d'expression écrite numéro 29	expression-ecrite-serie-29	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre façon de vous détendre après une journée difficile."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 30	Série de tests d'expression écrite numéro 30	expression-ecrite-serie-30	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une découverte récente qui vous a surpris ou intéressé."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 31	Série de tests d'expression écrite numéro 31	expression-ecrite-serie-31	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre façon de célébrer votre anniversaire."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 32	Série de tests d'expression écrite numéro 32	expression-ecrite-serie-32	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un changement positif que vous avez fait dans votre vie."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 33	Série de tests d'expression écrite numéro 33	expression-ecrite-serie-33	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre activité préférée à faire en famille."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 34	Série de tests d'expression écrite numéro 34	expression-ecrite-serie-34	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un conseil que vous donneriez à quelqu'un qui apprend le français."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 35	Série de tests d'expression écrite numéro 35	expression-ecrite-serie-35	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre façon de rester en contact avec vos amis et votre famille."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 36	Série de tests d'expression écrite numéro 36	expression-ecrite-serie-36	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une habitude que vous aimeriez changer et expliquez pourquoi."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 37	Série de tests d'expression écrite numéro 37	expression-ecrite-serie-37	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre façon de vous préparer pour un examen important."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 38	Série de tests d'expression écrite numéro 38	expression-ecrite-serie-38	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un endroit où vous aimez aller pour réfléchir ou vous reposer."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 39	Série de tests d'expression écrite numéro 39	expression-ecrite-serie-39	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre façon de gérer le stress dans votre vie quotidienne."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 40	Série de tests d'expression écrite numéro 40	expression-ecrite-serie-40	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez de vos projets pour l'avenir et de ce que vous espérez accomplir."	10			 
